Age,Income,Annual_Spend,Number_of_Visits,Preferred_Channel,Customer_Satisfaction
49,142212,6396.61,19,Online,High
29,132410,4007.13,6,Online,High
35,120302,4255.6,17,In-Store,High
24,138394,3431.43,3,In-Store,High
41,85392,6124.78,3,Online,High
29,129319,2255.55,19,Online,High
65,65962,9690.73,15,Online,High
27,77339,8855.29,7,Online,High
31,100642,1635.44,9,Online,High
58,40727,7055.83,29,Online,Medium
22,94493,9088.04,6,Mobile,High
58,136169,6239.23,3,Online,Low
71,124871,5168.37,27,In-Store,Medium
46,84348,8034.95,5,In-Store,High
18,123762,2181.74,7,Online,High
64,101912,3749.28,21,Online,Medium
23,147302,2927.55,19,Online,Medium
30,102337,2710.45,3,Online,Medium
47,149489,7730.61,24,Online,High
58,60681,9462.78,24,Mobile,Low
