CustomerID,Age,Income,Annual_Spend,Number_of_Visits,Preferred_Channel,Customer_Satisfaction
4001,49,142212,6396.61,19,Online,High
4002,29,132410,4007.13,6,Online,High
4003,35,120302,4255.6,17,In-Store,High
4004,24,138394,3431.43,3,In-Store,High
4005,41,85392,6124.78,3,Online,High
4006,29,129319,2255.55,19,Online,High
4007,65,65962,9690.73,15,Online,High
4008,27,77339,8855.29,7,Online,High
4009,31,100642,1635.44,9,Online,High
4010,58,40727,7055.83,29,Online,Medium
4011,22,94493,9088.04,6,Mobile,High
4012,58,136169,6239.23,3,Online,Low
4013,71,124871,5168.37,27,In-Store,Medium
4014,46,84348,8034.95,5,In-Store,High
4015,18,123762,2181.74,7,Online,High
4016,64,101912,3749.28,21,Online,Medium
4017,23,147302,2927.55,19,Online,Medium
4018,30,102337,2710.45,3,Online,Medium
4019,47,149489,7730.61,24,Online,High
4020,58,60681,9462.78,24,Mobile,Low
4021,67,46130,5039.29,24,Online,Medium
4022,37,59746,793.01,14,Online,High
4023,65,142450,6125.14,6,Online,High
4024,26,105864,3699.35,21,In-Store,Medium
4025,69,30591,5289.34,1,Mobile,High
4026,47,89897,725.59,7,Mobile,Low
4027,69,64653,3460.55,26,Online,Medium
4028,52,41782,8646.79,8,In-Store,High
4029,62,118412,4356.59,29,In-Store,High
4030,26,71514,5970.95,2,Mobile,High
4031,37,95558,7065.99,20,In-Store,Low
4032,28,72361,8706.58,19,Online,Medium
4033,30,138788,8418.38,28,Online,Medium
4034,49,95392,7796.22,1,Online,High
4035,61,103620,3223.37,28,In-Store,High
4036,41,75977,3405.33,2,In-Store,High
4037,18,120209,8346.09,11,Online,Medium
4038,59,146846,5922.05,23,Mobile,High
4039,73,78054,2857.24,3,In-Store,Medium
4040,27,75127,619.19,7,In-Store,High
4041,65,82731,3662.47,13,Online,High
4042,26,113912,4232.42,2,In-Store,High
4043,54,128512,8112.36,29,Online,Medium
4044,37,59405,9007.84,16,Mobile,Medium
4045,53,110064,7674.65,11,Online,High
4046,46,83100,6855.8,8,In-Store,High
4047,25,69487,8340.06,28,Online,Medium
4048,28,64280,1095.09,2,Online,Medium
4049,70,38551,7915.9,19,Online,High
4050,74,64214,1137.81,14,Online,Low
4051,57,120925,1756.41,22,Online,Medium
4052,56,123543,7407.47,5,Online,High
4053,64,106660,2885.41,11,Online,High
4054,27,58835,5701.37,8,Online,High
4055,70,146249,627.57,2,Mobile,High
4056,36,45583,1183.31,6,Mobile,High
4057,73,111995,1805.06,4,Mobile,High
4058,25,134904,3743.41,29,Online,High
4059,57,138555,5978.23,19,Mobile,Medium
4060,33,107644,2473.23,28,Online,Low
4061,62,77311,9273.15,3,Online,High
4062,18,64161,2948.57,28,Online,High
4063,70,139435,7096.11,20,Mobile,High
4064,60,33890,7718.51,15,Online,Medium
4065,30,76831,9977.67,13,Online,Medium
4066,35,131014,7981.39,25,In-Store,High
4067,74,101781,3938.82,5,Online,High
4068,29,125803,3672.5,24,In-Store,High
4069,69,148594,7560.58,14,Online,High
